Internal ID,Parent ID,Date Found,Type,Risky Data Type,Module,Children,Correlations,Distance,Starred,Annotation,Data,Source Data
2cd8c9c29b2e68890cfffda02542db7a58eb2f8c13cc4eb044e5163434766817,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,myLGNet (Net ID: 00:02:A8:C9:26:8D),"-22.9035, -47.0565"
2df8c094ebd3a3dbaca6e4ed6200df00738b3c1510941a641ca559f3a46ecc32,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,RTL8186-GW (Net ID: 00:02:6F:60:EA:90),"-22.9035, -47.0565"
2dff6b846bccdf1cafc4f3ae55fc649b113ae96ff9fd363b1af0779964012288,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:35,Physical Location,0,sfp_ipstack,0,0,1,0,,Brazil,4.228.83.86
2ec21d03d96acd0032a4eb5baf94e626e81512586d778f6ad8daeb2d92fc6dd6,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,caione (Net ID: 00:04:DF:75:58:43),"-22.9035, -47.0565"
31bf57d4f679be7c3eac5883ed106ffe694bb59c69317d48b8d8b98a1b62e00e,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,luluesc (Net ID: 00:03:6D:F4:D3:64),"-22.9035, -47.0565"
330b35ee58fd427a5a87237f0570e7e97cbf449643ca37a33a5fafa71eb89e5a,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,BentoQuirino (Net ID: 00:04:DF:79:91:63),"-22.9035, -47.0565"
3335cec2c0a1c82379062f69f67715ffc297e37da175ee506a3d591f2c91ddc4,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,OPALA_AR (Net ID: 00:02:6F:94:1D:62),"-22.9035, -47.0565"
33f919a636aa252e9c7c599e91ec57f2f38c7a21cd89982b5727febcb8e957b6,1c1c5c75fc5cf93a77c00cbf77ed478e47d5c2f54090a8a9da143b6658769061,2023-05-14 13:54:42,BGP AS Membership,0,sfp_shodan,0,0,1,0,,8075,4.228.83.86
355ac079a6b7936585956cdc412b601041611a16fb8fe34f2bd4051b822a5573,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,Default (Net ID: 00:03:8F:E2:12:CC),"-22.9035, -47.0565"
357d1e070ee7054f8270a1d7727818e190221d37192b5a460a138844c22ce6c5,d6997c47638425d9d0885f4312ec68f998922665742bf3a553d6de1bafff86cd,2023-05-14 13:54:46,Malicious IP on Same Subnet,1,sfp_blocklistde,0,0,2,0,,"blocklist.de List [4.224.0.0/12]
&lt;SFURL&gt;http://lists.blocklist.de/lists/all.txt&lt;/SFURL&gt;",4.224.0.0/12
36ebf009f45567e97c599d7b7a2e7e50ec5edafd5293819e4e04ef3c062a1cdb,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,NortonHome (Net ID: 00:01:E3:C9:89:AE),"-22.9035, -47.0565"
394762ab7ee4a3d8206e412267070eda6b2e89a1576e9af7eecb688e925328e0,eda4cc52158088260832d58de83eaedb872ba8ac645200c0c95400d5643b7dea,2023-05-14 13:54:48,WiFi Access Point Nearby,0,sfp_wigle,0,0,2,0,,PrinterKl (Net ID: 00:04:DF:D7:89:A7),"-22.9035, -47.0565"
